code,question,options
trab_clientes," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Atención a clientes",A2 = Atención a clientes|A3 = Recepcionista|A4 = Vendedor de tiendas departamentales|A5 = Promotor de seguros|A6 = Telefonía
trab_client_otro," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Atención a clientes: Otra opción",
trab_administrativo," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Administrativo",A2 = Contador público|A3 = Administrador|A4 = Recursos humanos
trab_admin_otro," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Administrativo: Otra opción",
trab_emple_gob," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Empleado gubernamental",A1 = ¿DE QUÉ TIPO?
trab_emple_gob_otro," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Empleado gubernamental: Otra opción",
trab_gobierno," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Gubernamental administrativo","A2 = Jefe de departamento|A3 = Jefe de área, subdirector|A4 = Subadministrador|A5 = Director|A6 = Administrador|A7 = Director general|A8 = Administrador general"
trab_gob_otro," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Gubernamental administrativo: Otra opción",
trab_maquinaria," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Operador de maquinaría móvil",A1 = ¿DE QUÉ TIPO?
trab_maq_otro," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Operador de maquinaría móvil: Otra opción",
trab_tecnico," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Personal técnico",A1 = ¿DE QUÉ TIPO?
trab_tec_otro," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Personal técnico: Otra opción",
trab_educativo," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Área educativa",A2 = Investigador-profesor en universidad/preparatoria|A3 = Educación básica|A4 = Técnico en educación (educador o guardería)
trab_educ_otro," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Área educativa: Otra opción",
trab_independiente," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Profesionista independiente",A2 = Abogado|A3 = Psicólogo|A4 = Contador|A5 = Dentista|A6 = Médico independiente|A7 = Terapeuta
trab_ind_otro," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Profesionista independiente: Otra opción",
trab_seguridad," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Seguridad",A2 = Guardaespaldas|A3 = Patrullero|A4 = Vigilante|A5 = Empleado de seguridad en bancos|A6 = Empleado de seguridad privada|A7 = Policía de tránsito
trab_seg_otro," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Seguridad: Otra opción",
trab_salud," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Área de la salud",A2 = Médico|A3 = Enfermera|A4 = Camillero|A5 = Paramédico
trab_sal_otro," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Área de la salud: Otra opción",
trab_construc," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Construcción",A2 = Arquitecto|A3 = Ingeniero civil/albañil o trabajador general
trab_const_otro," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Construcción: Otra opción",
trab_fabrica," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Fabrica",A2 = Empleado
trab_fab_otro," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Fabrica: Otra opción",
trab_agricultura," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Agricultura",A2 = Agricultor|A3 = Granjero|A4 = Siembra
trab_agric_otro," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Agricultura: Otra opción",
trabajo_otro," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Otro",
edad," Mamá  -  Viva/o Tu madre viva, ¿edad?",
sobrepeso," Mamá  -  Viva/o Tu madre viva, ¿padecía sobrepeso/ obesidad?",A2 = Sí|A3 = No|A4 = No sé|A5 = No aplica
sobrepeso_020," Mamá  -  Viva/o Tu madre viva, ¿padecía sobrepeso/ obesidad entre los 0-20 años?",Y = Sí|N = No
sobrepeso_2140," Mamá  -  Viva/o Tu madre viva, ¿padecía sobrepeso/ obesidad entre los 21-40 años?",Y = Sí|N = No
sobrepeso_4160," Mamá  -  Viva/o Tu madre viva, ¿padecía sobrepeso/ obesidad entre los 41-60 años?",Y = Sí|N = No
sobrepeso_m60," Mamá  -  Viva/o Tu madre viva, ¿padecía sobrepeso/ obesidad desde sus 60 años en adelante?",Y = Sí|N = No
tratamiento," Mamá  -  Viva/o Tu madre viva, ¿consultó o recibió tratamiento de un profesional de la salud al respecto sobrepeso u obesidad?",A2 = Sí|A3 = No|A4 = No sé|A5 = No aplica
tx_020," Mamá  -  Viva/o Tu madre viva, ¿consultó o recibió tratamiento de un profesional de la salud al respecto sobrepeso u obesidad entre los 0-20 años?",Y = Sí|N = No
tx_2140," Mamá  -  Viva/o Tu madre viva, ¿consultó o recibió tratamiento de un profesional de la salud al respecto sobrepeso u obesidad entre los 21-40 años?",Y = Sí|N = No
tx_4160," Mamá  -  Viva/o Tu madre viva, ¿consultó o recibió tratamiento de un profesional de la salud al respecto sobrepeso u obesidad entre los 41-60 años?",Y = Sí|N = No
tx_m60," Mamá  -  Viva/o Tu madre viva, ¿consultó o recibió tratamiento de un profesional de la salud al respecto sobrepeso u obesidad desde sus 60 años en adelante?",Y = Sí|N = No
tx_otro," Mamá  -  Viva/o Tu madre viva, ¿consultó o recibió tratamiento de un profesional de la salud al respecto sobrepeso u obesidad? Otro rango de edad",
ejercicios," Mamá  -  Viva/o Tu madre viva, ¿hacía ejercicios?",A1 = SÍ|A3 = No|A4 = No sé|A5 = No aplica
ejercicios_020," Mamá  -  Viva/o Tu madre viva, ¿hacía ejercicios entre los 0-20 años?",Y = Sí|N = No
ejercicios_2140," Mamá  -  Viva/o Tu madre viva, ¿hacía ejercicios entre los 21-40 años?",Y = Sí|N = No
ejercicios_4160," Mamá  -  Viva/o Tu madre viva, ¿hacía ejercicios entre los 41-60 años?",Y = Sí|N = No
ejercicios_m60," Mamá  -  Viva/o Tu madre viva, ¿hacía ejercicios desde sus 60 años en adelante?",Y = Sí|N = No
ejercicios_otro," Mamá  -  Viva/o Tu madre viva, ¿hacía ejercicios? Otro rango de edad",
fumar," Mamá  -  Viva/o Tu madre viva, ¿fuma/fumaba habitualmente?",A2 = Sí|A3 = No|A4 = No sé|A5 = No aplica
fumar_020," Mamá  -  Viva/o Tu madre viva, ¿fumaba habitualmente entre los 0-20 años?",Y = Sí|N = No
fumar_2140," Mamá  -  Viva/o Tu madre viva, ¿fumaba habitualmente entre los 21-40 años?",Y = Sí|N = No
fumar_4160," Mamá  -  Viva/o Tu madre viva, ¿fumaba habitualmente entre los 41-60 años?",Y = Sí|N = No
fumar_m60," Mamá  -  Viva/o Tu madre viva, ¿fumaba habitualmente desde sus 60 años en adelante?",Y = Sí|N = No
fumar_otro," Mamá  -  Viva/o Tu madre viva, ¿fumaba habitualmente? Otro rango de edad",
tomar," Mamá  -  Viva/o Tu madre viva, ¿toma/tomaba habitualmente?",A01 = Sí|A02 = No|A03 = No sé|A04 = No aplica
tomar_020," Mamá  -  Viva/o Tu madre viva, ¿tomaba habitualmente entre los 0-20 años?",Y = Sí|N = No
tomar_2140," Mamá  -  Viva/o Tu madre viva, ¿tomaba habitualmente entre los 21-40 años?",Y = Sí|N = No
tomar_4160," Mamá  -  Viva/o Tu madre viva, ¿tomaba habitualmente entre los 41-60 años?",Y = Sí|N = No
tomar_m60," Mamá  -  Viva/o Tu madre viva, ¿tomaba habitualmente desde sus 60 años en adelante?",Y = Sí|N = No
tomar_otro," Mamá  -  Viva/o Tu madre viva, ¿tomaba habitualmente? Otro rango de edad",
comer," Mamá  -  Viva/o Tu madre viva, ¿come/comía saludablemente habitualmente?",A2 = Sí|A3 = No|A4 = No sé|A5 = No aplica
comer_020," Mamá  -  Viva/o Tu madre viva, ¿comió saludable entre los 0-20 años?",Y = Sí|N = No
comer_2140," Mamá  -  Viva/o Tu madre viva, ¿comió saludable entre los 21-40 años?",Y = Sí|N = No
comer_4160," Mamá  -  Viva/o Tu madre viva, ¿comió saludable entre los 41-60 años?",Y = Sí|N = No
comer_m60," Mamá  -  Viva/o Tu madre viva, ¿comió saludable desde sus 60 años en adelante?",Y = Sí|N = No
comer_otro," Mamá  -  Viva/o Tu madre viva, ¿comió saludable en su vida? Otro rango de edad",
estudios," Mamá  -  Viva/o Tu madre viva, ¿se realizaba estudios de salud habitualmente?",A2 = Nunca|A3 = Cada año|A4 = Cada 5 años|A9 = Cada 10 años|A6 = Únicamente cuando se sentía mal|A7 = No sé
estudio_b," Mamá  -  Viva/o Tu madre viva, ¿se realizaba estudios de salud habitualmente? ¿qué estudios? Estudios de bioquímica sanguínea",Y = Sí|N = No
estudio_h," Mamá  -  Viva/o Tu madre viva, ¿se realizaba estudios de salud habitualmente? ¿qué estudios? Biometría hemática",Y = Sí|N = No
estudio_e," Mamá  -  Viva/o Tu madre viva, ¿se realizaba estudios de salud habitualmente? ¿qué estudios? Electrocardiograma",Y = Sí|N = No
estudio_m," Mamá  -  Viva/o Tu madre viva, ¿se realizaba estudios de salud habitualmente? ¿qué estudios? Papanicolau y mastografía",Y = Sí|N = No
estudio_p," Mamá  -  Viva/o Tu madre viva, ¿se realizaba estudios de salud habitualmente? ¿qué estudios? Revision de prostata",Y = Sí|N = No
estudio_g," Mamá  -  Viva/o Tu madre viva, ¿se realizaba estudios de salud habitualmente? ¿qué estudios? Revisiones generales",Y = Sí|N = No
estudio_n," Mamá  -  Viva/o Tu madre viva, ¿se realizaba estudios de salud habitualmente? ¿qué estudios? No sé",Y = Sí|N = No
estudio_o," Mamá  -  Viva/o Tu madre viva, ¿se realizaba estudios de salud habitualmente? ¿qué estudios? Otra opción",
vacuna," Mamá  -  Viva/o Tu madre viva, en campaña de vacunación contra Influenza ¿se vacunaba?",A2 = Sí|A3 = No|A4 = No Sé
dx_sobrepeso," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? Sobrepeso u obesidad",Y = Sí|N = No
dx_sobre_edad," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? ¿A qué edad? Sobrepeso u obesidad",
dx_diabetes," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud?  Diabetes",Y = Sí|N = No
dx_diab_edad," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? ¿A qué edad? Diabetes",
dx_alcoholismo," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? Alcoholismo",Y = Sí|N = No
dx_alco_edad," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? ¿A qué edad? Alcoholismo",
dx_tabaquismo," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? Tabaquismo",Y = Sí|N = No
dx_taba_edad," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? ¿A qué edad? Tabaquismo",
dx_alimentacion," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? Trastorno de la alimentación (bulimia, anorexia)",Y = Sí|N = No
dx_alim_edad," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? ¿A qué edad? Trastorno de la alimentación (bulimia, anorexia)",
dx_atracon," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? Trastorno de atracón",Y = Sí|N = No
dx_atra_edad," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? ¿A qué edad? Trastorno de atracón",
dx_respiratorio," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? Algún problema respiratorio",Y = Sí|N = No
dx_resp_edad," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? ¿A qué edad? Algún problema respiratorio ",
dx_prediabetes," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? Prediabetes",Y = Sí|N = No
dx_pred_edad," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? ¿A qué edad? Prediabetes",
dx_ansiedad," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? Ansiedad",Y = Sí|N = No
dx_ansi_edad," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? ¿A qué edad? Ansiedad",
dx_sindmetabol," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? Síndrome metabólico",Y = Sí|N = No
dx_sinmet_edad," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? ¿A qué edad? Síndrome metabólico",
dx_depresion," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? Depresión",Y = Sí|N = No
dx_depre_edad," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? ¿A qué edad? Depresión",
dx_hipertension," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud?  Hipertensión",Y = Sí|N = No
dx_hiper_edad," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? ¿A qué edad? Hipertensión",
dx_toc," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? Trastorno obsesivo compulsivo",Y = Sí|N = No
dx_toc_edad," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? ¿A qué edad? Trastorno obsesivo compulsivo",
dx_adiccion," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? Otra adicción",Y = Sí|N = No
dx_adiccion_edad," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? ¿A qué edad? Otra adicción",
dx_colesterol," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? Colesterol alto",Y = Sí|N = No
dx_col_edad," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? ¿A qué edad? Colesterol alto",
dx_trigliceridos," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? Triglicéridos altos",Y = Sí|N = No
dx_trig_edad," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? ¿A qué edad? Triglicéridos altos",
dx_cancer," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud?  Cáncer",Y = Sí|N = No
dx_canc_edad," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? ¿A qué edad? Cáncer",
dx_cardiovascular," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud?  Algún problema cardiovascular",Y = Sí|N = No
dx_cardio_edad," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? ¿A qué edad? Algún problema cardiovascular",
dx_covid19," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? COVID19",Y = Sí|N = No
dx_covid_edad," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? ¿A qué edad? COVID19",
dx_otro," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? Otro",Y = Sí|N = No
dx_otro_edad," Mamá  -  Viva/o Tu madre viva, ¿desarrolló o se le ha  diagnosticado alguna de las siguientes enfermedades por un profesional de la salud? ¿A qué edad? Otro",
vive," Papá  - Tu padre, ¿está vivo?",Y = Sí|N = No
escolaridad," Papá  - Tu padre, ¿cuál es/era la escolaridad máxima de tu abuela materna?",A89 = Ninguno|A2 = Primaria|A3 = Secundaria|A4 = Preparatoria|A5 = Licenciatura|A6 = Maestría|A7 = Doctorado
escolaridad_otra," Papá  - Tu padre, ¿cuál es/era la escolaridad máxima de tu abuela materna? Otra opción",
trabajo," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente?",2 = Actividades deportivas|3 = Artista|4 = Chofer|5 = Comerciante sector formal|6 = Comerciante sector informal|7 = Empresario|8 = Comercio Virtual|9 = Atención a clientes|10 = Administrativo|11 = Gubernamental administrativo|12 = Empleado gubernamental|13 = Operador de maquinaria móvil|14 = Personal técnico|15 = Área educativa|16 = Profesionista independiente|17 = Seguridad|18 = Área de la salud|19 = Construcción|20 = Fábrica|21 = Agricultura|22 = No trabaja/ trabajaba
trabajo_otro," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Otro",
trab_deporte," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Actividades deportivas",A2 = Entrenador de gimnasio|A3 = Profesor de clases deportivas
trab_dep_otro," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Actividades deportivas: Otra opción",
trab_artes," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Artista",A2 = Fotógrafo|A3 = Pintor|A4 = Músico|A5 = Cantante
trab_art_otro," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Artista: Otra opción",
trab_chofer," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Chofer",A2 = Taxista|A3 = Uber|A4 = Microbús|A5 = Camiones
trab_chofer_otro," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Chofer: Otra opción",
trab_comerciof," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Comerciante sector formal",A2 = Vendedor por cuenta propia (negocio propio)
trab_comercioi," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Comerciante sector informal",A2 = Vendedor de comida|A3 = Periódicos|A4 = Flores y productos en un puesto no establecido
trab_comi_otro," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Comerciante sector informal: Otra opción",
trab_empresario," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Empresario",A2 = Dueño|A3 = Director o gerente
trab_empre_otro," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Empresario: Otra opción",
trab_ecommerce," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Comercio Virtual","A2 = Vendedor de productos por internet (mercado pago, amazon, instagram, etc.)"
trab_eco_otro," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Comercio Virtual: Otra opción",
trab_clientes," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Atención a clientes",A2 = Atención a clientes|A3 = Recepcionista|A4 = Vendedor de tiendas departamentales|A5 = Promotor de seguros|A6 = Telefonía
trab_client_otro," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Atención a clientes: Otra opción",
trab_administrativo," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Administrativo",A2 = Contador público|A3 = Administrador|A4 = Recursos humanos
trab_admin_otro," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Administrativo: Otra opción",
trab_gobierno," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Gubernamental administrativo","A2 = Jefe de departamento|A3 = Jefe de área, subdirector|A4 = Subadministrador|A5 = Director|A6 = Administrador|A7 = Director general|A8 = Administrador general"
trab_gob_otro," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Gubernamental administrativo: Otra opción",
trab_emple_gob," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Empleado gubernamental",A1 = ¿DE QUÉ TIPO?
trab_emple_gob_otro," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Empleado gubernamental: Otra opción",
trab_maquinaria," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Operador de maquinaría móvil",A1 = ¿DE QUÉ TIPO?
trab_maq_otro," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Operador de maquinaría móvil: Otra opción",
trab_tecnico," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Personal técnico",A1 = ¿DE QUÉ TIPO?
trab_tec_otro," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Personal técnico: Otra opción",
trab_educativo," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Área educativa",A2 = Investigador-profesor en universidad/preparatoria|A3 = Educación básica|A4 = Técnico en educación (educador o guardería)
trab_educ_otro," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Área educativa: Otra opción",
trab_independiente," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Profesionista independiente",A2 = Abogado|A3 = Psicólogo|A4 = Contador|A5 = Dentista|A6 = Médico independiente|A7 = Terapeuta
trab_ind_otro," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Profesionista independiente: Otra opción",
trab_seguridad," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Seguridad",A2 = Guardaespaldas|A3 = Patrullero|A4 = Vigilante|A5 = Empleado de seguridad en bancos|A6 = Empleado de seguridad privada|A7 = Policía de tránsito
trab_seg_otro," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Seguridad: Otra opción",
trab_salud," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Área de la salud",A2 = Médico|A3 = Enfermera|A4 = Camillero|A5 = Paramédico
trab_sal_otro," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Área de la salud: Otra opción",
trab_construc," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Construcción",A2 = Arquitecto|A3 = Ingeniero civil/albañil o trabajador general
trab_const_otro," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Construcción: Otra opción",
trab_fabrica," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Fabrica",A2 = Empleado
trab_fab_otro," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Fabrica: Otra opción",
trab_agricultura," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Agricultura",A2 = Agricultor|A3 = Granjero|A4 = Siembra
trab_agric_otro," Papá  - Tu padre, ¿a qué se dedica/dedicaba principalmente? Agricultura: Otra opción",
edad," Papá  -  Viva/o Tu padre vivo, ¿edad?",
sobrepeso," Papá  -  Viva/o Tu padre vivo, ¿padecía sobrepeso/ obesidad?",A2 = Sí|A3 = No|A4 = No sé|A5 = No aplica
sobrepeso_020," Papá  -  Viva/o Tu padre vivo, ¿padecía sobrepeso/ obesidad  entre los 0-20 años?",Y = Sí|N = No
