code,question,options
G_dx_cardio_edad, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? ¿Y a qué edad?: Algún problema cardiovascular,
G_dx_respiratorio, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? Algún problema respiratorio,Y = Sí|N = No
G_dx_resp_edad, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? ¿Y a qué edad?: Algún problema respiratorio ,
G_dx_covid19, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? COVID19,Y = Sí|N = No
G_dx_covid_edad, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? ¿Y a qué edad?: COVID19,
G_dx_alcoholismo, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? Alcoholismo,Y = Sí|N = No
G_dx_alco_edad, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? ¿Y a qué edad?: Alcoholismo,
G_dx_tabaquismo, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? Tabaquismo,Y = Sí|N = No
G_dx_taba_edad, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? ¿Y a qué edad?: Tabaquismo,
G_dx_alimentacion," Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? Trastorno de la alimentación (bulimia, anorexia)",Y = Sí|N = No
G_dx_alim_edad," Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? ¿Y a qué edad?: Trastorno de la alimentación (bulimia, anorexia)",
G_dx_atra_edad, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? ¿Y a qué edad?: Trastorno de atracón,
G_dx_ansiedad, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? Ansiedad,Y = Sí|N = No
G_dx_ansi_edad, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? ¿Y a qué edad?: Ansiedad,
G_dx_depresion, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? Depresión,Y = Sí|N = No
G_dx_depre_edad, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? ¿Y a qué edad?: Depresión,
G_dx_toc, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? Trastorno obsesivo compulsivo,Y = Sí|N = No
G_dx_toc_edad, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? ¿Y a qué edad?: Trastorno obsesivo compulsivo,
G_dx_adiccion, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? Otra adicción,Y = Sí|N = No
G_dx_adiccion_edad, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? ¿Y a qué edad?: Otra adicción,
G_dx_otro, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? Otro,Y = Sí|N = No
G_dx_otro_edad, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? ¿Y a qué edad?: Otro,
G_figura_preuni, Individuo  -  De la imagen de Stunkard de las nueve figuras ¿En qué lugar te encontrabas antes de entrar a la carrera?,A2 = 1|A3 = 2|A4 = 3|A5 = 4|A6 = 5|A7 = 6|A8 = 7|A9 = 8|A10 = 9|A11 = No aplica
G_figura_uni_sincovid, Individuo  -  De la imagen de Stunkard de las nueve figuras ¿En qué lugar te encontrabas al entrar a la carrera sin pandemia?,A2 = 1|A3 = 2|A4 = 3|A5 = 4|A6 = 5|A7 = 6|A8 = 7|A9 = 8|A10 = 9|A11 = No aplica
G_figura_uni_concovid, Individuo  -  De la imagen de Stunkard de las nueve figuras ¿En qué lugar te encontrabas al entrar a la carrera con pandemia?,A2 = 1|A3 = 2|A4 = 3|A5 = 4|A6 = 5|A7 = 6|A8 = 7|A9 = 8|A10 = 9|A11 = No aplica
G_figura_ideal, Individuo  -  De la imagen de Stunkard de las nueve figuras ¿En qué lugar te gustaría estar?,A2 = 1|A3 = 2|A4 = 3|A5 = 4|A6 = 5|A7 = 6|A8 = 7|A9 = 8|A10 = 9|A11 = No aplica
G_trab_estudiante," Individuo  -  ¿Además de estudiar, trabajas?",Y = Sí|N = No
G_trab_h," Individuo  - Además de estudiar, trabajas. ¿Cuántas horas por semana trabajas?",
G_trabajo, Individuo  - Además de estudiar trabajas.¿En qué área trabajas?,A02 = Actividades deportivas|A03 = Artista|A04 = Chofer|A05 = Comerciante sector formal|A06 = Comerciante sector informal|A07 = Empresario|A08 = Comercio Virtual|A09 = Atención a clientes|A10 = Administrativo|A11 = Gubernamental administrativo|A12 = Empleado gubernamental|A13 = Operador de maquinaria móvil|A14 = Personal técnico|A15 = Área educativa|A16 = Profesionista independiente|A17 = Seguridad|A18 = Área de la salud|A19 = Construcción|A20 = Fábrica
G_trabajo_otro, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Otro,
G_trab_deporte, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Actividades deportivas,A2 = Entrenador de gimnasio|A3 = Profesor de clases deportivas
G_trab_dep_otro, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Actividades deportivas: Otra opción,
G_trab_artes, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Artista,A2 = Fotógrafo|A3 = Pintor|A4 = Músico|A5 = Cantante
G_trab_art_otro, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Artista: Otra opción,
G_trab_chofer, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Chofer,A2 = Taxista|A3 = Uber|A4 = Microbus|A5 = Camiones
G_trab_chofer_otro, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Chofer: Otra opción,
G_trab_comercioi, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Comerciante sector informal,A2 = Vendedor de comida|A3 = Periódicos|A4 = Flores y productos en un puesto no establecido
G_trab_comi_otro, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Comerciante sector informal: Otra opción,
G_trab_empresario, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Empresario,A2 = Dueño|A3 = Director o gerente
G_trab_empre_otro, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Empresario: Otra opción,
G_trab_ecommerce, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Comercio Virtual,"A2 = Vendedor de productos por internet (mercado pago, amazon, instagram, etc.)"
G_trab_eco_otro, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Comercio Virtual: Otra opción,
G_trab_clientes, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Atención a clientes,A2 = Atención a clientes|A3 = Recepcionista|A4 = Vendedor de tiendas departamentales|A5 = Promotor de seguros|A6 = Telefonía
G_trab_client_otro, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Atención a clientes: Otra opción,
G_trab_administrativo, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Administrativo,A2 = Contador público|A3 = Administrador|A4 = Recursos humanos
G_trab_admin_otro, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Administrativo: Otra opción,
G_trab_emple_gob, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Empleado gubernamental,A1 = ¿DE QUÉ TIPO?
G_trab_emple_gob_otro, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Empleado gubernamental: Otra opción,
G_trab_gobierno, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Gubernamental administrativo,"A2 = Jefe de departamento|A3 = Jefe de área, subdirector|A4 = Subadministrador|A5 = Director|A6 = Administrador|A7 = Director general"
G_trab_gob_otro, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Gubernamental administrativo: Otra opción,
G_trab_maquinaria, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Operador de maquinaría móvil,A1 = ¿DE QUÉ TIPO?
G_trab_maq_otro, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Operador de maquinaría móvil: Otra opción,
G_trab_tecnico, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Personal técnico,A1 = ¿DE QUÉ TIPO?
G_trab_tec_otro, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Personal técnico: Otra opción,
G_trab_educativo, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Área educativa,A2 = Investigador-profesor en universidad/preparatoria|A3 = Educación básica|A4 = Técnico en educación (educador o guardería)
G_trab_educ_otro, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Área educativa: Otra opción,
G_trab_independiente, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Profesionista independiente,A2 = Abogado|A3 = Psicólogo|A4 = Contador|A5 = Dentista|A6 = Médico independiente|A7 = Terapeuta
G_trab_ind_otro, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Profesionista independiente: Otra opción,
G_trab_seguridad, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Seguridad,A2 = Guardaespaldas|A3 = Patrullero|A4 = Vigilante|A5 = Empleado de seguridad en bancos|A6 = Empleado de seguridad privada|A7 = Policía de tránsito
G_trab_seg_otro, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Seguridad: Otra opción,
G_trab_salud, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Área de la salud,A2 = Médico|A3 = Enfermera|A4 = Camillero|A5 = Paramédico
G_trab_sal_otro, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Área de la salud: Otra opción,
G_trab_construc, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Construcción,A2 = Arquitecto|A3 = Ingeniero civil/albañil o trabajador general
G_trab_const_otro, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Construcción: Otra opción,
G_trab_comerciof, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Comerciante sector informal,A2 = Vendedor por cuenta propia (negocio propio)
G_trab_comf_otro, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Comerciante sector informal: Otra opción,
G_trab_agricultura, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Agricultura,A2 = Agricultor|A3 = Granjero|A4 = Siembra
G_trab_agric_otro, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Agricultura: Otra opción,
G_trab_fabrica, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Fabrica,A1 = Empleado
G_trab_fab_otro, Individuo  - Además de estudiar trabajas.¿En qué área trabajas? Fabrica: Otra opción,
G_trab_razon_econom, Individuo  - Además de estudiar trabajas. ¿Por qué trabajas? Razones económicas,Y = Sí|N = No
G_trab_razon_familia, Individuo  - Además de estudiar trabajas. ¿Por qué trabajas? Razones familiares,Y = Sí|N = No
G_trab_razon_supera, Individuo  - Además de estudiar trabajas. ¿Por qué trabajas? Superación personal,Y = Sí|N = No
G_trab_razon_experie, Individuo  - Además de estudiar trabajas. ¿Por qué trabajas? Experiencia,Y = Sí|N = No
G_trab_razon_otro, Individuo  - Además de estudiar trabajas. ¿Por qué trabajas? Otro,
G_vivienda_padres, Individuo  -  ¿Vives con tus padres /familia?,A1 = Sí|A2 = No|A3 = No quiero responder
G_vivienda_padres_focos, Individuo  -  ¿Cuántos focos tiene la vivienda de tus padres?,
G_vivienda_renta_focos, Individuo  -  Si actualmente rentas fuera de la casa de tus padres/ familia ¿cúantos focos tiene la vivienda en donde rentas,
G_vivienda_renta_compartir," Individuo  -  Si actualmente rentas solo, ¿con cuántas personas compartes tu habitación (dormitorio) en la vivienda donde rentas?",
G_vivienda_padres_compartir, Individuo  -  Vives con tus padres /familia. ¿Con cuántas personas compartes tu habitación (dormitorio) en la vivienda de tus padres/familia?,
G_nse_auto, Individuo  -  Tu o algún integrante de  este hogar tiene: ¿Automóvil?,Y = Sí|N = No
G_nse_TV, Individuo  -  Tu o algún integrante de  este hogar tiene: ¿Servicio de TV de paga?,Y = Sí|N = No
G_nse_lava, Individuo  -  Tu o algún integrante de  este hogar tiene: ¿Lavadora y/o secadora?,Y = Sí|N = No
G_nse_lapt, Individuo  -  Tu o algún integrante de  este hogar tiene: ¿Laptop?,Y = Sí|N = No
G_nse_comp, Individuo  -  Tu o algún integrante de  este hogar tiene: ¿Computadora de escritorio?,Y = Sí|N = No
G_nse_inte, Individuo  -  Tu o algún integrante de  este hogar tiene: ¿Servicio de internet?,Y = Sí|N = No
G_nse_celu, Individuo  -  Tu o algún integrante de  este hogar tiene: ¿Celular?,Y = Sí|N = No
G_nse_aire, Individuo  -  Tu o algún integrante de  este hogar tiene: ¿Aire Acondicionado?,Y = Sí|N = No
G_nse_limp, Individuo  -  Tu o algún integrante de  este hogar tiene: ¿Personas de limpieza?,Y = Sí|N = No
G_nse_comp_compartir," Individuo  -  ¿Si tienes computadora de escritorio, compartes el uso con otro miembro de tu familia?",A1 = Sí|A2 = No|A3 = No quiero responder
G_nse_lapt_compartir," Individuo  -  ¿Si tienes laptop, compartes el uso con otro miembro de tu familia?",A1 = Sí|A2 = No|A3 = No quiero responder
G_escolaridad_sec, Individuo  - ¿En dónde estudiaste la secundaria?,A1 = Pública|A2 = Privada
G_escolaridad_pre, Individuo  - ¿En dónde estudiaste la preparatoria?,A1 = Pública|A2 = Privada
G_ejercicios, Individuo  - ¿Haces /has hecho ejercicio habitualmente?,A2 = Sí|A3 = No|A4 = No sé|A5 = No aplica
G_ejercicios_alternativo, Individuo  - ¿Haces /has hecho ejercicio habitualmente? Otra opción,
G_ejercicios_h_preuni, Individuo  - Hacías ejercicio habitualmente antes de entrar a la carrera- ¿Cuántas horas ?,
G_ejercicios_h_uni_sincovid, Individuo  - Hacías ejercicio habitualmente durante la carrera (sin pandemia). ¿Cuántas horas ?,
G_ejercicios_h_uni_concovid, Individuo  - Hacías ejercicio habitualmente durante la carrera (con pandemia). ¿Cuántas horas ?,
G_ejercicios_edad, Individuo  - Haces ejercicio habitualmente. ¿Desde qué edad has estado haciendo ejercicio?,
G_fumar, Individuo  - ¿Fumas/ has fumado habitualmente?,A2 = Sí|A3 = No|A4 = No sé|A5 = No aplica
G_fumar_alternativo, Individuo  - ¿Fumas/ has fumado habitualmente? Otra opción,
